ticker,event_date,side,threshold,score,hold_type,hold_value,stop_loss,profit_target,entry_ts,exit_ts,entry_px,exit_px,stock_ret,market_ret,excess_ret,exit_reason,side_label
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,5,0.1,,2023-03-17 09:30:00,2023-03-17 09:35:00,226.05,224.58,0.006502986065029859,0.0015004323279588228,0.005002553737071036,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,5,0.1,0.01,2023-03-17 09:30:00,2023-03-17 09:30:00,226.05,223.7895,0.010000000000000009,-0.0006357764101521113,0.01063577641015212,profit_target,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,5,0.1,0.03,2023-03-17 09:30:00,2023-03-17 09:35:00,226.05,224.58,0.006502986065029859,0.0015004323279588228,0.005002553737071036,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,5,0.1,0.05,2023-03-17 09:30:00,2023-03-17 09:35:00,226.05,224.58,0.006502986065029859,0.0015004323279588228,0.005002553737071036,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,5,0.1,0.1,2023-03-17 09:30:00,2023-03-17 09:35:00,226.05,224.58,0.006502986065029859,0.0015004323279588228,0.005002553737071036,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,5,0.1,0.2,2023-03-17 09:30:00,2023-03-17 09:35:00,226.05,224.58,0.006502986065029859,0.0015004323279588228,0.005002553737071036,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,5,0.2,,2023-03-17 09:30:00,2023-03-17 09:35:00,226.05,224.58,0.006502986065029859,0.0015004323279588228,0.005002553737071036,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,5,0.2,0.01,2023-03-17 09:30:00,2023-03-17 09:30:00,226.05,223.7895,0.010000000000000009,-0.0006357764101521113,0.01063577641015212,profit_target,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,5,0.2,0.03,2023-03-17 09:30:00,2023-03-17 09:35:00,226.05,224.58,0.006502986065029859,0.0015004323279588228,0.005002553737071036,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,5,0.2,0.05,2023-03-17 09:30:00,2023-03-17 09:35:00,226.05,224.58,0.006502986065029859,0.0015004323279588228,0.005002553737071036,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,5,0.2,0.1,2023-03-17 09:30:00,2023-03-17 09:35:00,226.05,224.58,0.006502986065029859,0.0015004323279588228,0.005002553737071036,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,5,0.2,0.2,2023-03-17 09:30:00,2023-03-17 09:35:00,226.05,224.58,0.006502986065029859,0.0015004323279588228,0.005002553737071036,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,,,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,,0.01,2023-03-17 09:30:00,2023-03-17 09:30:00,226.05,223.7895,0.010000000000000009,-0.0006357764101521113,0.01063577641015212,profit_target,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,,0.03,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,,0.05,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,,0.1,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,,0.2,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.01,,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.01,0.01,2023-03-17 09:30:00,2023-03-17 09:30:00,226.05,223.7895,0.010000000000000009,-0.0006357764101521113,0.01063577641015212,profit_target,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.01,0.03,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.01,0.05,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.01,0.1,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.01,0.2,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.03,,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.03,0.01,2023-03-17 09:30:00,2023-03-17 09:30:00,226.05,223.7895,0.010000000000000009,-0.0006357764101521113,0.01063577641015212,profit_target,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.03,0.03,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.03,0.05,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.03,0.1,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.03,0.2,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.05,,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.05,0.01,2023-03-17 09:30:00,2023-03-17 09:30:00,226.05,223.7895,0.010000000000000009,-0.0006357764101521113,0.01063577641015212,profit_target,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.05,0.03,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.05,0.05,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.05,0.1,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.05,0.2,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.1,,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.1,0.01,2023-03-17 09:30:00,2023-03-17 09:30:00,226.05,223.7895,0.010000000000000009,-0.0006357764101521113,0.01063577641015212,profit_target,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.1,0.03,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.1,0.05,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.1,0.1,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.1,0.2,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.2,,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.2,0.01,2023-03-17 09:30:00,2023-03-17 09:30:00,226.05,223.7895,0.010000000000000009,-0.0006357764101521113,0.01063577641015212,profit_target,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.2,0.03,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.2,0.05,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.2,0.1,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,15,0.2,0.2,2023-03-17 09:30:00,2023-03-17 09:45:00,226.05,220.915,0.02271621322716222,-0.0021657087635420513,0.02488192199070427,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,,,2023-03-17 09:30:00,2023-03-17 10:00:00,226.05,222.08,0.017562486175624836,0.002314226132953401,0.015248260042671435,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,,0.01,2023-03-17 09:30:00,2023-03-17 09:30:00,226.05,223.7895,0.010000000000000009,-0.0006357764101521113,0.01063577641015212,profit_target,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,,0.03,2023-03-17 09:30:00,2023-03-17 10:00:00,226.05,222.08,0.017562486175624836,0.002314226132953401,0.015248260042671435,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,,0.05,2023-03-17 09:30:00,2023-03-17 10:00:00,226.05,222.08,0.017562486175624836,0.002314226132953401,0.015248260042671435,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,,0.1,2023-03-17 09:30:00,2023-03-17 10:00:00,226.05,222.08,0.017562486175624836,0.002314226132953401,0.015248260042671435,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,,0.2,2023-03-17 09:30:00,2023-03-17 10:00:00,226.05,222.08,0.017562486175624836,0.002314226132953401,0.015248260042671435,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,0.01,,2023-03-17 09:30:00,2023-03-17 10:00:00,226.05,222.08,0.017562486175624836,0.002314226132953401,0.015248260042671435,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,0.01,0.01,2023-03-17 09:30:00,2023-03-17 09:30:00,226.05,223.7895,0.010000000000000009,-0.0006357764101521113,0.01063577641015212,profit_target,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,0.01,0.03,2023-03-17 09:30:00,2023-03-17 10:00:00,226.05,222.08,0.017562486175624836,0.002314226132953401,0.015248260042671435,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,0.01,0.05,2023-03-17 09:30:00,2023-03-17 10:00:00,226.05,222.08,0.017562486175624836,0.002314226132953401,0.015248260042671435,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,0.01,0.1,2023-03-17 09:30:00,2023-03-17 10:00:00,226.05,222.08,0.017562486175624836,0.002314226132953401,0.015248260042671435,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,0.01,0.2,2023-03-17 09:30:00,2023-03-17 10:00:00,226.05,222.08,0.017562486175624836,0.002314226132953401,0.015248260042671435,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,0.03,,2023-03-17 09:30:00,2023-03-17 10:00:00,226.05,222.08,0.017562486175624836,0.002314226132953401,0.015248260042671435,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,0.03,0.01,2023-03-17 09:30:00,2023-03-17 09:30:00,226.05,223.7895,0.010000000000000009,-0.0006357764101521113,0.01063577641015212,profit_target,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,0.03,0.03,2023-03-17 09:30:00,2023-03-17 10:00:00,226.05,222.08,0.017562486175624836,0.002314226132953401,0.015248260042671435,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,0.03,0.05,2023-03-17 09:30:00,2023-03-17 10:00:00,226.05,222.08,0.017562486175624836,0.002314226132953401,0.015248260042671435,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,0.03,0.1,2023-03-17 09:30:00,2023-03-17 10:00:00,226.05,222.08,0.017562486175624836,0.002314226132953401,0.015248260042671435,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,0.03,0.2,2023-03-17 09:30:00,2023-03-17 10:00:00,226.05,222.08,0.017562486175624836,0.002314226132953401,0.015248260042671435,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,0.05,,2023-03-17 09:30:00,2023-03-17 10:00:00,226.05,222.08,0.017562486175624836,0.002314226132953401,0.015248260042671435,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,0.05,0.01,2023-03-17 09:30:00,2023-03-17 09:30:00,226.05,223.7895,0.010000000000000009,-0.0006357764101521113,0.01063577641015212,profit_target,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,0.05,0.03,2023-03-17 09:30:00,2023-03-17 10:00:00,226.05,222.08,0.017562486175624836,0.002314226132953401,0.015248260042671435,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,0.05,0.05,2023-03-17 09:30:00,2023-03-17 10:00:00,226.05,222.08,0.017562486175624836,0.002314226132953401,0.015248260042671435,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,0.05,0.1,2023-03-17 09:30:00,2023-03-17 10:00:00,226.05,222.08,0.017562486175624836,0.002314226132953401,0.015248260042671435,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,0.05,0.2,2023-03-17 09:30:00,2023-03-17 10:00:00,226.05,222.08,0.017562486175624836,0.002314226132953401,0.015248260042671435,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,0.1,,2023-03-17 09:30:00,2023-03-17 10:00:00,226.05,222.08,0.017562486175624836,0.002314226132953401,0.015248260042671435,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,30,0.1,0.01,2023-03-17 09:30:00,2023-03-17 09:30:00,226.05,223.7895,0.010000000000000009,-0.0006357764101521113,0.01063577641015212,profit_target,short
