hold_type,hold_value,threshold,stop_loss,profit_target,event_date,stock_ret,market_ret,excess_ret,n_trades,ticker
intraday,5,0.5,0.2,0.01,2025-09-22,-0.006868062707403588,-0.005264578833693245,-0.001603483873710343,1,FLY
intraday,5,0.5,0.2,0.01,2025-11-12,0.010000000000000009,-0.01243203526818526,0.02243203526818527,1,FLY
intraday,5,0.5,0.2,0.03,2025-09-22,-0.006868062707403588,-0.005264578833693245,-0.001603483873710343,1,FLY
intraday,5,0.5,0.2,0.03,2025-11-12,0.017890120036934354,-0.01243203526818526,0.030322155305119614,1,FLY
intraday,5,0.5,0.2,0.05,2025-09-22,-0.006868062707403588,-0.005264578833693245,-0.001603483873710343,1,FLY
intraday,5,0.5,0.2,0.05,2025-11-12,0.017890120036934354,-0.01243203526818526,0.030322155305119614,1,FLY
intraday,5,0.5,0.2,0.1,2025-09-22,-0.006868062707403588,-0.005264578833693245,-0.001603483873710343,1,FLY
intraday,5,0.5,0.2,0.1,2025-11-12,0.017890120036934354,-0.01243203526818526,0.030322155305119614,1,FLY
intraday,5,0.5,0.2,0.2,2025-09-22,-0.006868062707403588,-0.005264578833693245,-0.001603483873710343,1,FLY
intraday,5,0.5,0.2,0.2,2025-11-12,0.017890120036934354,-0.01243203526818526,0.030322155305119614,1,FLY
intraday,5,1.0,0.01,0.01,2025-09-22,0.010000000000000009,-0.005264578833693245,0.015264578833693254,1,FLY
intraday,5,1.0,0.01,0.01,2025-11-12,-0.010000000000000009,-0.01243203526818526,0.002432035268185251,1,FLY
intraday,5,1.0,0.01,0.03,2025-09-22,0.01426307448494435,-0.005264578833693245,0.019527653318637594,1,FLY
intraday,5,1.0,0.01,0.03,2025-11-12,-0.010000000000000009,-0.01243203526818526,0.002432035268185251,1,FLY
intraday,5,1.0,0.01,0.05,2025-09-22,0.01426307448494435,-0.005264578833693245,0.019527653318637594,1,FLY
intraday,5,1.0,0.01,0.05,2025-11-12,-0.010000000000000009,-0.01243203526818526,0.002432035268185251,1,FLY
intraday,5,1.0,0.01,0.1,2025-09-22,0.01426307448494435,-0.005264578833693245,0.019527653318637594,1,FLY
intraday,5,1.0,0.01,0.1,2025-11-12,-0.010000000000000009,-0.01243203526818526,0.002432035268185251,1,FLY
intraday,5,1.0,0.01,0.2,2025-09-22,0.01426307448494435,-0.005264578833693245,0.019527653318637594,1,FLY
intraday,5,1.0,0.01,0.2,2025-11-12,-0.010000000000000009,-0.01243203526818526,0.002432035268185251,1,FLY
intraday,5,1.0,0.03,0.01,2025-09-22,0.010000000000000009,-0.005264578833693245,0.015264578833693254,1,FLY
intraday,5,1.0,0.03,0.01,2025-11-12,-0.012551227201080706,-0.01243203526818526,-0.00011919193289544605,1,FLY
intraday,5,1.0,0.03,0.03,2025-09-22,0.01426307448494435,-0.005264578833693245,0.019527653318637594,1,FLY
intraday,5,1.0,0.03,0.03,2025-11-12,-0.012551227201080706,-0.01243203526818526,-0.00011919193289544605,1,FLY
intraday,5,1.0,0.03,0.05,2025-09-22,0.01426307448494435,-0.005264578833693245,0.019527653318637594,1,FLY
intraday,5,1.0,0.03,0.05,2025-11-12,-0.012551227201080706,-0.01243203526818526,-0.00011919193289544605,1,FLY
intraday,5,1.0,0.03,0.1,2025-09-22,0.01426307448494435,-0.005264578833693245,0.019527653318637594,1,FLY
intraday,5,1.0,0.03,0.1,2025-11-12,-0.012551227201080706,-0.01243203526818526,-0.00011919193289544605,1,FLY
intraday,5,1.0,0.03,0.2,2025-09-22,0.01426307448494435,-0.005264578833693245,0.019527653318637594,1,FLY
intraday,5,1.0,0.03,0.2,2025-11-12,-0.012551227201080706,-0.01243203526818526,-0.00011919193289544605,1,FLY
intraday,5,1.0,0.05,0.01,2025-09-22,0.010000000000000009,-0.005264578833693245,0.015264578833693254,1,FLY
intraday,5,1.0,0.05,0.01,2025-11-12,-0.012551227201080706,-0.01243203526818526,-0.00011919193289544605,1,FLY
intraday,5,1.0,0.05,0.03,2025-09-22,0.01426307448494435,-0.005264578833693245,0.019527653318637594,1,FLY
intraday,5,1.0,0.05,0.03,2025-11-12,-0.012551227201080706,-0.01243203526818526,-0.00011919193289544605,1,FLY
intraday,5,1.0,0.05,0.05,2025-09-22,0.01426307448494435,-0.005264578833693245,0.019527653318637594,1,FLY
intraday,5,1.0,0.05,0.05,2025-11-12,-0.012551227201080706,-0.01243203526818526,-0.00011919193289544605,1,FLY
intraday,5,1.0,0.05,0.1,2025-09-22,0.01426307448494435,-0.005264578833693245,0.019527653318637594,1,FLY
intraday,5,1.0,0.05,0.1,2025-11-12,-0.012551227201080706,-0.01243203526818526,-0.00011919193289544605,1,FLY
intraday,5,1.0,0.05,0.2,2025-09-22,0.01426307448494435,-0.005264578833693245,0.019527653318637594,1,FLY
intraday,5,1.0,0.05,0.2,2025-11-12,-0.012551227201080706,-0.01243203526818526,-0.00011919193289544605,1,FLY
intraday,5,1.0,0.1,0.01,2025-09-22,0.010000000000000009,-0.005264578833693245,0.015264578833693254,1,FLY
intraday,5,1.0,0.1,0.01,2025-11-12,-0.012551227201080706,-0.01243203526818526,-0.00011919193289544605,1,FLY
intraday,5,1.0,0.1,0.03,2025-09-22,0.01426307448494435,-0.005264578833693245,0.019527653318637594,1,FLY
intraday,5,1.0,0.1,0.03,2025-11-12,-0.012551227201080706,-0.01243203526818526,-0.00011919193289544605,1,FLY
intraday,5,1.0,0.1,0.05,2025-09-22,0.01426307448494435,-0.005264578833693245,0.019527653318637594,1,FLY
intraday,5,1.0,0.1,0.05,2025-11-12,-0.012551227201080706,-0.01243203526818526,-0.00011919193289544605,1,FLY
intraday,5,1.0,0.1,0.1,2025-09-22,0.01426307448494435,-0.005264578833693245,0.019527653318637594,1,FLY
intraday,5,1.0,0.1,0.1,2025-11-12,-0.012551227201080706,-0.01243203526818526,-0.00011919193289544605,1,FLY
intraday,5,1.0,0.1,0.2,2025-09-22,0.01426307448494435,-0.005264578833693245,0.019527653318637594,1,FLY
intraday,5,1.0,0.1,0.2,2025-11-12,-0.012551227201080706,-0.01243203526818526,-0.00011919193289544605,1,FLY
intraday,5,1.0,0.2,0.01,2025-09-22,0.010000000000000009,-0.005264578833693245,0.015264578833693254,1,FLY
intraday,5,1.0,0.2,0.01,2025-11-12,-0.012551227201080706,-0.01243203526818526,-0.00011919193289544605,1,FLY
intraday,5,1.0,0.2,0.03,2025-09-22,0.01426307448494435,-0.005264578833693245,0.019527653318637594,1,FLY
intraday,5,1.0,0.2,0.03,2025-11-12,-0.012551227201080706,-0.01243203526818526,-0.00011919193289544605,1,FLY
intraday,5,1.0,0.2,0.05,2025-09-22,0.01426307448494435,-0.005264578833693245,0.019527653318637594,1,FLY
intraday,5,1.0,0.2,0.05,2025-11-12,-0.012551227201080706,-0.01243203526818526,-0.00011919193289544605,1,FLY
intraday,5,1.0,0.2,0.1,2025-09-22,0.01426307448494435,-0.005264578833693245,0.019527653318637594,1,FLY
intraday,5,1.0,0.2,0.1,2025-11-12,-0.012551227201080706,-0.01243203526818526,-0.00011919193289544605,1,FLY
intraday,5,1.0,0.2,0.2,2025-09-22,0.01426307448494435,-0.005264578833693245,0.019527653318637594,1,FLY
intraday,5,1.0,0.2,0.2,2025-11-12,-0.012551227201080706,-0.01243203526818526,-0.00011919193289544605,1,FLY
intraday,5,1.5,0.01,0.01,2025-09-22,-0.010000000000000009,-0.005264578833693245,-0.004735421166306764,1,FLY
intraday,5,1.5,0.01,0.03,2025-09-22,-0.010000000000000009,-0.005264578833693245,-0.004735421166306764,1,FLY
intraday,5,1.5,0.01,0.05,2025-09-22,-0.010000000000000009,-0.005264578833693245,-0.004735421166306764,1,FLY
intraday,5,1.5,0.01,0.1,2025-09-22,-0.010000000000000009,-0.005264578833693245,-0.004735421166306764,1,FLY
intraday,5,1.5,0.01,0.2,2025-09-22,-0.010000000000000009,-0.005264578833693245,-0.004735421166306764,1,FLY
intraday,5,1.5,0.03,0.01,2025-09-22,-0.007589285714285632,-0.005264578833693245,-0.0023247068805923865,1,FLY
intraday,5,1.5,0.03,0.03,2025-09-22,-0.007589285714285632,-0.005264578833693245,-0.0023247068805923865,1,FLY
intraday,5,1.5,0.03,0.05,2025-09-22,-0.007589285714285632,-0.005264578833693245,-0.0023247068805923865,1,FLY
intraday,5,1.5,0.03,0.1,2025-09-22,-0.007589285714285632,-0.005264578833693245,-0.0023247068805923865,1,FLY
intraday,5,1.5,0.03,0.2,2025-09-22,-0.007589285714285632,-0.005264578833693245,-0.0023247068805923865,1,FLY
intraday,5,1.5,0.05,0.01,2025-09-22,-0.007589285714285632,-0.005264578833693245,-0.0023247068805923865,1,FLY
intraday,5,1.5,0.05,0.03,2025-09-22,-0.007589285714285632,-0.005264578833693245,-0.0023247068805923865,1,FLY
intraday,5,1.5,0.05,0.05,2025-09-22,-0.007589285714285632,-0.005264578833693245,-0.0023247068805923865,1,FLY
intraday,5,1.5,0.05,0.1,2025-09-22,-0.007589285714285632,-0.005264578833693245,-0.0023247068805923865,1,FLY
intraday,5,1.5,0.05,0.2,2025-09-22,-0.007589285714285632,-0.005264578833693245,-0.0023247068805923865,1,FLY
intraday,5,1.5,0.1,0.01,2025-09-22,-0.007589285714285632,-0.005264578833693245,-0.0023247068805923865,1,FLY
intraday,5,1.5,0.1,0.03,2025-09-22,-0.007589285714285632,-0.005264578833693245,-0.0023247068805923865,1,FLY
intraday,5,1.5,0.1,0.05,2025-09-22,-0.007589285714285632,-0.005264578833693245,-0.0023247068805923865,1,FLY
intraday,5,1.5,0.1,0.1,2025-09-22,-0.007589285714285632,-0.005264578833693245,-0.0023247068805923865,1,FLY
intraday,5,1.5,0.1,0.2,2025-09-22,-0.007589285714285632,-0.005264578833693245,-0.0023247068805923865,1,FLY
intraday,5,1.5,0.2,0.01,2025-09-22,-0.007589285714285632,-0.005264578833693245,-0.0023247068805923865,1,FLY
intraday,5,1.5,0.2,0.03,2025-09-22,-0.007589285714285632,-0.005264578833693245,-0.0023247068805923865,1,FLY
intraday,5,1.5,0.2,0.05,2025-09-22,-0.007589285714285632,-0.005264578833693245,-0.0023247068805923865,1,FLY
intraday,5,1.5,0.2,0.1,2025-09-22,-0.007589285714285632,-0.005264578833693245,-0.0023247068805923865,1,FLY
intraday,5,1.5,0.2,0.2,2025-09-22,-0.007589285714285632,-0.005264578833693245,-0.0023247068805923865,1,FLY
intraday,15,0.5,0.01,0.01,2025-09-22,-0.01000000000000012,-0.005264578833693245,-0.004735421166306875,1,FLY
intraday,15,0.5,0.01,0.01,2025-11-12,-0.010000000000000009,-0.01243203526818526,0.002432035268185251,1,FLY
intraday,15,0.5,0.01,0.03,2025-09-22,-0.01000000000000012,-0.005264578833693245,-0.004735421166306875,1,FLY
intraday,15,0.5,0.01,0.03,2025-11-12,-0.010000000000000009,-0.01243203526818526,0.002432035268185251,1,FLY
intraday,15,0.5,0.01,0.05,2025-09-22,-0.01000000000000012,-0.005264578833693245,-0.004735421166306875,1,FLY
intraday,15,0.5,0.01,0.05,2025-11-12,-0.010000000000000009,-0.01243203526818526,0.002432035268185251,1,FLY
intraday,15,0.5,0.01,0.1,2025-09-22,-0.01000000000000012,-0.005264578833693245,-0.004735421166306875,1,FLY
intraday,15,0.5,0.01,0.1,2025-11-12,-0.010000000000000009,-0.01243203526818526,0.002432035268185251,1,FLY
intraday,15,0.5,0.01,0.2,2025-09-22,-0.01000000000000012,-0.005264578833693245,-0.004735421166306875,1,FLY
intraday,15,0.5,0.01,0.2,2025-11-12,-0.010000000000000009,-0.01243203526818526,0.002432035268185251,1,FLY
intraday,15,0.5,0.03,0.01,2025-09-22,-0.006295914864400953,-0.005264578833693245,-0.001031336030707708,1,FLY
intraday,15,0.5,0.03,0.01,2025-11-12,0.010000000000000009,-0.01243203526818526,0.02243203526818527,1,FLY
intraday,15,0.5,0.03,0.03,2025-09-22,-0.006295914864400953,-0.005264578833693245,-0.001031336030707708,1,FLY
intraday,15,0.5,0.03,0.03,2025-11-12,-0.011597414589104349,-0.01243203526818526,0.0008346206790809108,1,FLY
intraday,15,0.5,0.03,0.05,2025-09-22,-0.006295914864400953,-0.005264578833693245,-0.001031336030707708,1,FLY
intraday,15,0.5,0.03,0.05,2025-11-12,-0.011597414589104349,-0.01243203526818526,0.0008346206790809108,1,FLY
intraday,15,0.5,0.03,0.1,2025-09-22,-0.006295914864400953,-0.005264578833693245,-0.001031336030707708,1,FLY
intraday,15,0.5,0.03,0.1,2025-11-12,-0.011597414589104349,-0.01243203526818526,0.0008346206790809108,1,FLY
intraday,15,0.5,0.03,0.2,2025-09-22,-0.006295914864400953,-0.005264578833693245,-0.001031336030707708,1,FLY
intraday,15,0.5,0.03,0.2,2025-11-12,-0.011597414589104349,-0.01243203526818526,0.0008346206790809108,1,FLY
intraday,15,0.5,0.05,0.01,2025-09-22,-0.006295914864400953,-0.005264578833693245,-0.001031336030707708,1,FLY
intraday,15,0.5,0.05,0.01,2025-11-12,0.010000000000000009,-0.01243203526818526,0.02243203526818527,1,FLY
intraday,15,0.5,0.05,0.03,2025-09-22,-0.006295914864400953,-0.005264578833693245,-0.001031336030707708,1,FLY
intraday,15,0.5,0.05,0.03,2025-11-12,-0.011597414589104349,-0.01243203526818526,0.0008346206790809108,1,FLY
intraday,15,0.5,0.05,0.05,2025-09-22,-0.006295914864400953,-0.005264578833693245,-0.001031336030707708,1,FLY
intraday,15,0.5,0.05,0.05,2025-11-12,-0.011597414589104349,-0.01243203526818526,0.0008346206790809108,1,FLY
intraday,15,0.5,0.05,0.1,2025-09-22,-0.006295914864400953,-0.005264578833693245,-0.001031336030707708,1,FLY
intraday,15,0.5,0.05,0.1,2025-11-12,-0.011597414589104349,-0.01243203526818526,0.0008346206790809108,1,FLY
intraday,15,0.5,0.05,0.2,2025-09-22,-0.006295914864400953,-0.005264578833693245,-0.001031336030707708,1,FLY
intraday,15,0.5,0.05,0.2,2025-11-12,-0.011597414589104349,-0.01243203526818526,0.0008346206790809108,1,FLY
intraday,15,0.5,0.1,0.01,2025-09-22,-0.006295914864400953,-0.005264578833693245,-0.001031336030707708,1,FLY
intraday,15,0.5,0.1,0.01,2025-11-12,0.010000000000000009,-0.01243203526818526,0.02243203526818527,1,FLY
intraday,15,0.5,0.1,0.03,2025-09-22,-0.006295914864400953,-0.005264578833693245,-0.001031336030707708,1,FLY
intraday,15,0.5,0.1,0.03,2025-11-12,-0.011597414589104349,-0.01243203526818526,0.0008346206790809108,1,FLY
intraday,15,0.5,0.1,0.05,2025-09-22,-0.006295914864400953,-0.005264578833693245,-0.001031336030707708,1,FLY
intraday,15,0.5,0.1,0.05,2025-11-12,-0.011597414589104349,-0.01243203526818526,0.0008346206790809108,1,FLY
intraday,15,0.5,0.1,0.1,2025-09-22,-0.006295914864400953,-0.005264578833693245,-0.001031336030707708,1,FLY
intraday,15,0.5,0.1,0.1,2025-11-12,-0.011597414589104349,-0.01243203526818526,0.0008346206790809108,1,FLY
intraday,15,0.5,0.1,0.2,2025-09-22,-0.006295914864400953,-0.005264578833693245,-0.001031336030707708,1,FLY
intraday,15,0.5,0.1,0.2,2025-11-12,-0.011597414589104349,-0.01243203526818526,0.0008346206790809108,1,FLY
intraday,15,0.5,0.2,0.01,2025-09-22,-0.006295914864400953,-0.005264578833693245,-0.001031336030707708,1,FLY
